"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 12:43:39 GMT 2024","Wed Jul 10 12:43:41 GMT 2024","1786","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 12:43:02 GMT 2024","Wed Jul 10 12:43:04 GMT 2024","2101","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 12:42:50 GMT 2024","Wed Jul 10 12:42:50 GMT 2024","9","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Jul 10 12:43:04 GMT 2024","Wed Jul 10 12:43:06 GMT 2024","1541","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 12:43:33 GMT 2024","Wed Jul 10 12:43:39 GMT 2024","5804","CrossBrowser","FirefoxTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 12:43:00 GMT 2024","Wed Jul 10 12:43:01 GMT 2024","1387","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Wed Jul 10 12:42:50 GMT 2024","Wed Jul 10 12:42:50 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Jul 10 12:43:33 GMT 2024","Wed Jul 10 12:43:36 GMT 2024","3027","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 12:43:33 GMT 2024","Wed Jul 10 12:43:35 GMT 2024","2229","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base LUMA_URL","To verify that the URL on the application are correct and as expected"
"passed","Wed Jul 10 12:43:02 GMT 2024","Wed Jul 10 12:43:05 GMT 2024","3380","CrossBrowser","ChromiumTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 12:42:57 GMT 2024","Wed Jul 10 12:42:59 GMT 2024","1795","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base LUMA_URL","To verify that the URL on the application are correct and as expected"
"passed","Wed Jul 10 12:42:57 GMT 2024","Wed Jul 10 12:43:00 GMT 2024","2715","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 12:42:57 GMT 2024","Wed Jul 10 12:43:01 GMT 2024","4519","CrossBrowser","ChromeTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 12:43:02 GMT 2024","Wed Jul 10 12:43:03 GMT 2024","1325","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base LUMA_URL","To verify that the URL on the application are correct and as expected"
